index,Date,CC,Country_name,Region,New_cases,Total_cases,New_deaths,Total_deaths
11186,30-01-2020,IN,India,SEARO,1,1,0,0
11187,31-01-2020,IN,India,SEARO,0,1,0,0
11188,01-02-2020,IN,India,SEARO,0,1,0,0
11189,02-02-2020,IN,India,SEARO,1,2,0,0
11190,03-02-2020,IN,India,SEARO,1,3,0,0
11191,04-02-2020,IN,India,SEARO,0,3,0,0
11192,05-02-2020,IN,India,SEARO,0,3,0,0
11193,06-02-2020,IN,India,SEARO,0,3,0,0
11194,07-02-2020,IN,India,SEARO,0,3,0,0
11195,08-02-2020,IN,India,SEARO,0,3,0,0
11196,09-02-2020,IN,India,SEARO,0,3,0,0
11197,10-02-2020,IN,India,SEARO,0,3,0,0
11198,11-02-2020,IN,India,SEARO,0,3,0,0
11199,12-02-2020,IN,India,SEARO,0,3,0,0
11200,13-02-2020,IN,India,SEARO,0,3,0,0
11201,14-02-2020,IN,India,SEARO,0,3,0,0
11202,15-02-2020,IN,India,SEARO,0,3,0,0
11203,16-02-2020,IN,India,SEARO,0,3,0,0
11204,17-02-2020,IN,India,SEARO,0,3,0,0
11205,18-02-2020,IN,India,SEARO,0,3,0,0
11206,19-02-2020,IN,India,SEARO,0,3,0,0
11207,20-02-2020,IN,India,SEARO,0,3,0,0
11208,21-02-2020,IN,India,SEARO,0,3,0,0
11209,22-02-2020,IN,India,SEARO,0,3,0,0
11210,23-02-2020,IN,India,SEARO,0,3,0,0
11211,24-02-2020,IN,India,SEARO,0,3,0,0
11212,25-02-2020,IN,India,SEARO,0,3,0,0
11213,26-02-2020,IN,India,SEARO,0,3,0,0
11214,27-02-2020,IN,India,SEARO,0,3,0,0
11215,28-02-2020,IN,India,SEARO,0,3,0,0
11216,29-02-2020,IN,India,SEARO,0,3,0,0
11217,01-03-2020,IN,India,SEARO,0,3,0,0
11218,02-03-2020,IN,India,SEARO,2,5,0,0
11219,03-03-2020,IN,India,SEARO,0,5,0,0
11220,04-03-2020,IN,India,SEARO,22,27,0,0
11221,05-03-2020,IN,India,SEARO,2,29,0,0
11222,06-03-2020,IN,India,SEARO,2,31,0,0
11223,07-03-2020,IN,India,SEARO,3,34,0,0
11224,08-03-2020,IN,India,SEARO,5,39,0,0
11225,09-03-2020,IN,India,SEARO,5,44,0,0
11226,10-03-2020,IN,India,SEARO,6,50,0,0
11227,11-03-2020,IN,India,SEARO,10,60,0,0
11228,12-03-2020,IN,India,SEARO,14,74,0,0
11229,13-03-2020,IN,India,SEARO,7,81,1,1
11230,14-03-2020,IN,India,SEARO,3,84,1,2
11231,15-03-2020,IN,India,SEARO,23,107,0,2
11232,16-03-2020,IN,India,SEARO,7,114,0,2
11233,17-03-2020,IN,India,SEARO,23,137,1,3
11234,18-03-2020,IN,India,SEARO,14,151,0,3
11235,19-03-2020,IN,India,SEARO,44,195,1,4
11236,20-03-2020,IN,India,SEARO,0,195,0,4
11237,21-03-2020,IN,India,SEARO,88,283,0,4
11238,22-03-2020,IN,India,SEARO,58,341,1,5
11239,23-03-2020,IN,India,SEARO,93,434,4,9
11240,24-03-2020,IN,India,SEARO,85,519,0,9
11241,25-03-2020,IN,India,SEARO,87,606,1,10
11242,26-03-2020,IN,India,SEARO,43,649,3,13
11243,27-03-2020,IN,India,SEARO,75,724,4,17
11244,28-03-2020,IN,India,SEARO,0,724,0,17
11245,29-03-2020,IN,India,SEARO,255,979,8,25
11246,30-03-2020,IN,India,SEARO,92,1071,4,29
11247,31-03-2020,IN,India,SEARO,180,1251,3,32
11248,01-04-2020,IN,India,SEARO,385,1636,6,38
11249,02-04-2020,IN,India,SEARO,329,1965,12,50
11250,03-04-2020,IN,India,SEARO,336,2301,6,56
11251,04-04-2020,IN,India,SEARO,601,2902,12,68
11252,05-04-2020,IN,India,SEARO,472,3374,9,77
11253,06-04-2020,IN,India,SEARO,693,4067,32,109
11254,07-04-2020,IN,India,SEARO,354,4421,5,114
11255,08-04-2020,IN,India,SEARO,853,5274,35,149
11256,09-04-2020,IN,India,SEARO,591,5865,20,169
11257,10-04-2020,IN,India,SEARO,547,6412,30,199
11258,11-04-2020,IN,India,SEARO,1035,7447,40,239
11259,12-04-2020,IN,India,SEARO,909,8356,34,273
11260,13-04-2020,IN,India,SEARO,796,9152,35,308
11261,14-04-2020,IN,India,SEARO,1211,10363,31,339
11262,15-04-2020,IN,India,SEARO,1076,11439,38,377
11263,16-04-2020,IN,India,SEARO,941,12380,37,414
11264,17-04-2020,IN,India,SEARO,1007,13387,23,437
11265,18-04-2020,IN,India,SEARO,991,14378,43,480
11266,19-04-2020,IN,India,SEARO,1334,15712,27,507
11267,20-04-2020,IN,India,SEARO,1553,17265,36,543
11268,21-04-2020,IN,India,SEARO,1336,18601,47,590
11269,22-04-2020,IN,India,SEARO,1383,19984,50,640
11270,23-04-2020,IN,India,SEARO,1409,21393,41,681
11271,24-04-2020,IN,India,SEARO,1684,23077,37,718
11272,25-04-2020,IN,India,SEARO,1429,24506,57,775
11273,26-04-2020,IN,India,SEARO,1990,26496,49,824
11274,27-04-2020,IN,India,SEARO,1396,27892,48,872
11275,28-04-2020,IN,India,SEARO,1543,29435,62,934
11276,29-04-2020,IN,India,SEARO,1897,31332,73,1007
11277,30-04-2020,IN,India,SEARO,1718,33050,67,1074
11278,01-05-2020,IN,India,SEARO,1993,35043,73,1147
11279,02-05-2020,IN,India,SEARO,2293,37336,71,1218
11280,03-05-2020,IN,India,SEARO,2644,39980,83,1301
11281,04-05-2020,IN,India,SEARO,2553,42533,72,1373
11282,05-05-2020,IN,India,SEARO,3900,46433,195,1568
11283,06-05-2020,IN,India,SEARO,2958,49391,126,1694
11284,07-05-2020,IN,India,SEARO,3561,52952,89,1783
11285,08-05-2020,IN,India,SEARO,3390,56342,103,1886
11286,09-05-2020,IN,India,SEARO,3320,59662,95,1981
11287,10-05-2020,IN,India,SEARO,3277,62939,128,2109
11288,11-05-2020,IN,India,SEARO,4213,67152,97,2206
11289,12-05-2020,IN,India,SEARO,3604,70756,87,2293
11290,13-05-2020,IN,India,SEARO,3525,74281,122,2415
11291,14-05-2020,IN,India,SEARO,3722,78003,134,2549
11292,15-05-2020,IN,India,SEARO,3967,81970,100,2649
11293,16-05-2020,IN,India,SEARO,3970,85940,103,2752
11294,17-05-2020,IN,India,SEARO,4987,90927,120,2872
11295,18-05-2020,IN,India,SEARO,5242,96169,157,3029
11296,19-05-2020,IN,India,SEARO,4970,101139,134,3163
11297,20-05-2020,IN,India,SEARO,5611,106750,140,3303
11298,21-05-2020,IN,India,SEARO,5609,112359,132,3435
11299,22-05-2020,IN,India,SEARO,6088,118447,148,3583
11300,23-05-2020,IN,India,SEARO,6654,125101,137,3720
11301,24-05-2020,IN,India,SEARO,6767,131868,147,3867
11302,25-05-2020,IN,India,SEARO,6977,138845,154,4021
11303,26-05-2020,IN,India,SEARO,6535,145380,146,4167
11304,27-05-2020,IN,India,SEARO,6387,151767,170,4337
11305,28-05-2020,IN,India,SEARO,6566,158333,194,4531
11306,29-05-2020,IN,India,SEARO,7466,165799,175,4706
11307,30-05-2020,IN,India,SEARO,7964,173763,265,4971
11308,31-05-2020,IN,India,SEARO,8380,182143,193,5164
11309,01-06-2020,IN,India,SEARO,8392,190535,230,5394
11310,02-06-2020,IN,India,SEARO,8171,198706,204,5598
11311,03-06-2020,IN,India,SEARO,8909,207615,217,5815
11312,04-06-2020,IN,India,SEARO,9304,216919,260,6075
11313,05-06-2020,IN,India,SEARO,9851,226770,273,6348
11314,06-06-2020,IN,India,SEARO,9887,236657,294,6642
11315,07-06-2020,IN,India,SEARO,9971,246628,287,6929
11316,08-06-2020,IN,India,SEARO,9983,256611,206,7135
11317,09-06-2020,IN,India,SEARO,9987,266598,331,7466
11318,10-06-2020,IN,India,SEARO,9985,276583,279,7745
11319,11-06-2020,IN,India,SEARO,9996,286579,357,8102
11320,12-06-2020,IN,India,SEARO,10956,297535,396,8498
11321,13-06-2020,IN,India,SEARO,11458,308993,386,8884
11322,14-06-2020,IN,India,SEARO,11929,320922,311,9195
11323,15-06-2020,IN,India,SEARO,11502,332424,325,9520
11324,16-06-2020,IN,India,SEARO,10667,343091,380,9900
11325,17-06-2020,IN,India,SEARO,10974,354065,2003,11903
11326,18-06-2020,IN,India,SEARO,12881,366946,334,12237
11327,19-06-2020,IN,India,SEARO,13586,380532,336,12573
11328,20-06-2020,IN,India,SEARO,14516,395048,375,12948
11329,21-06-2020,IN,India,SEARO,15413,410461,306,13254
11330,22-06-2020,IN,India,SEARO,14821,425282,445,13699
11331,23-06-2020,IN,India,SEARO,14933,440215,312,14011
11332,24-06-2020,IN,India,SEARO,15968,456183,465,14476
11333,25-06-2020,IN,India,SEARO,16922,473105,418,14894
11334,26-06-2020,IN,India,SEARO,17296,490401,407,15301
11335,27-06-2020,IN,India,SEARO,18552,508953,384,15685
11336,28-06-2020,IN,India,SEARO,19906,528859,410,16095
11337,29-06-2020,IN,India,SEARO,19459,548318,380,16475
11338,30-06-2020,IN,India,SEARO,18522,566840,418,16893
11339,01-07-2020,IN,India,SEARO,18653,585493,507,17400
11340,02-07-2020,IN,India,SEARO,19148,604641,434,17834
11341,03-07-2020,IN,India,SEARO,20903,625544,379,18213
11342,04-07-2020,IN,India,SEARO,22771,648315,442,18655
11343,05-07-2020,IN,India,SEARO,24850,673165,613,19268
